time,Cache:adminBytes,Cache:avgBatchCACHEMODE,Cache:avgBatchCRITICAL,Cache:avgBatchDAEMON,Cache:avgBatchEVICTORTHREAD,Cache:avgBatchMANUAL,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:nBINsEvictedCACHEMODE,Cache:nBINsEvictedCRITICAL,Cache:nBINsEvictedDAEMON,Cache:nBINsEvictedEVICTORTHREAD,Cache:nBINsEvictedMANUAL,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsStripped,Cache:nBatchesCACHEMODE,Cache:nBatchesCRITICAL,Cache:nBatchesDAEMON,Cache:nBatchesEVICTORTHREAD,Cache:nBatchesMANUAL,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nEvictPasses,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesScanned,Cache:nNodesSelected,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsEvictedCACHEMODE,Cache:nUpperINsEvictedCRITICAL,Cache:nUpperINsEvictedDAEMON,Cache:nUpperINsEvictedEVICTORTHREAD,Cache:nUpperINsEvictedMANUAL,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:requiredEvictBytes,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lnSizeCorrectionFactor,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerProbeRuns,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2021-09-23T03:04:36Z,161,0,0,0,0,0,3161950,1029,16061,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,1,5,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632366275862,3145728,0,0,0,0,2,2,2,2,2,0,0,3,3,0,0,0,0,0,0,38,1,0,0,2048,1,954,2,0,0,0,0,0,0,1,8,33437456,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-23T03:05:36Z,161,0,0,0,0,0,4424108,1467,1278219,0,0,0,0,0,0,100140,0,0,0,0,0,0,0,62,5,0,13,1,5,50211,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632366275862,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,143,68,330,50128688,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,765,0,90,0,1530,0,0,0,0,0,0,0,0,0,0,93460,0,6198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-23T03:06:36Z,161,0,0,0,0,0,5317052,1467,2171163,0,0,0,0,0,0,98790,0,0,0,0,0,0,0,97,5,0,3,1,5,51940,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632366275862,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,241,99,326,85643832,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,600,0,24,0,1200,0,0,0,0,0,0,0,0,0,0,94253,0,4382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-23T03:07:36Z,161,0,0,0,0,0,5980428,1467,2834539,0,0,0,0,0,0,90800,0,0,0,0,0,0,0,125,5,0,6,1,5,47909,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632366275862,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,82,97,295,91774104,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,600,0,24,0,1200,0,0,0,0,0,0,0,0,0,0,87289,0,3380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-23T03:08:36Z,161,0,0,0,0,0,6726764,1467,3580875,0,0,0,0,0,0,92444,0,0,0,0,0,0,0,161,5,0,3,1,5,49636,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632366275862,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,168,110,325,88772840,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,550,0,22,0,1100,0,0,0,0,0,0,0,0,0,0,88802,0,3534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-23T03:09:36Z,161,0,0,0,0,0,7306444,1467,4160555,0,0,0,0,0,0,83160,0,0,0,0,0,0,0,181,5,0,-1,1,5,44811,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632366275862,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,145,111,305,99292280,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,500,0,20,0,1000,0,0,0,0,0,0,0,0,0,0,80126,0,2936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-23T03:10:36Z,161,0,0,0,0,0,7835292,1467,4689403,0,0,0,0,0,0,76365,0,0,0,0,0,0,0,201,5,0,-5,1,5,41253,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632366275862,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,178,101,287,133058592,2,0,0,0,0,0,0,0,0,0,0,2,0,4,0,650,0,26,0,1300,0,0,0,0,0,0,0,0,0,0,73379,0,2882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-23T03:11:36Z,161,0,0,0,0,0,8338276,1467,5192387,0,0,0,0,0,0,80076,0,0,0,0,0,0,0,219,7,0,-9,1,6,43194,0,0,0,0,0, ,0,0,0,0,0,0,74452,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632366275862,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,173,105,267,101234024,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,500,0,20,0,1000,0,0,0,0,0,0,0,0,0,0,77371,0,2616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-23T03:12:36Z,161,0,0,0,0,0,8900964,1467,5755075,0,0,0,0,0,0,86188,0,0,0,0,0,0,0,247,7,0,-13,1,6,46556,0,0,0,0,0, ,0,0,0,0,0,0,84738,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632366275862,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,207,111,286,117033120,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,500,0,20,0,1000,0,0,0,0,0,0,0,0,0,0,83340,0,2754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-23T03:13:36Z,161,0,0,0,0,0,9322172,1467,6176283,0,0,0,0,0,0,80008,0,0,0,0,0,0,0,269,7,0,-17,1,6,44753,0,0,0,0,0, ,0,0,0,0,0,0,78830,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632366275862,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,185,82,245,122426768,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,550,0,22,0,1100,0,0,0,0,0,0,0,0,0,0,77716,0,2194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
